producto_id,codigo,descripcion,marca,primary_category,subcategory,tags,category_aliases,display_order,classification_status,classification_source,classification_reviewed_by,motivo
6304#30.3,6304,SALCHICHON CULAR PLATA IB. *MARCIAL*,MARCIAL CASTRO,embutidos_curados,salchichon,cerdo|marca,,90,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
6304#31.1,6304,SALCHICHON CULAR PLATA IB. *MARCIAL*,MARCIAL CASTRO,embutidos_curados,salchichon,cerdo|marca,,91,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
6304#31.2,6304,SALCHICHON CULAR PLATA IB. *MARCIAL*,MARCIAL CASTRO,embutidos_curados,salchichon,cerdo|marca,,92,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
6305#31.3,6305,CHORIZO CULAR PLATA IB. *MARCIAL*,MARCIAL CASTRO,embutidos_curados,chorizo,cerdo|marca,,93,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
6305#32.1,6305,CHORIZO CULAR PLATA IB. *MARCIAL*,MARCIAL CASTRO,embutidos_curados,chorizo,cerdo|marca,,94,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
6305#32.2,6305,CHORIZO CULAR PLATA IB. *MARCIAL*,MARCIAL CASTRO,embutidos_curados,chorizo,cerdo|marca,,95,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
6313#32.3,6313,JAMON CEBO CAMPO IBERICO 50% RAZA IB.,MARCIAL CASTRO,embutidos_curados,jamon_curado,cerdo|iberico|marca,,96,auto_confirmado,regla:\bjamon cebo\b|\bjamon iberico\b,,regla inequívoca
6314#33.1,6314,"SALCHICHON IBERICO BELLOTA ""ORO"" MARCIAL",MARCIAL CASTRO,embutidos_curados,salchichon,cerdo|iberico|marca,,97,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
1503#33.2,1503,CENTRO JAMON 2 PZAS C/ MUÑOZ ROJO,MUÑOZ ROJO,jamones_fiambres_cocidos,jamon,cerdo|marca,,98,pending_review,regla:\bcentro de jamon\b|\bcentro jamon\b,,señal débil: conviene confirmarlo
7001#33.3,7001,QUESO CURADO OCAÑA,OCAÑA,quesos,queso,marca|queso,,99,auto_confirmado,regla:\bqueso,,regla inequívoca
7001#34.1,7001,QUESO CURADO OCAÑA,OCAÑA,quesos,queso,marca|queso,,100,auto_confirmado,regla:\bqueso,,regla inequívoca
3500#34.2,3500,CHORIZO PAMPLONA EXTRA 2 PIEZAS,PAMPLONICA,embutidos_curados,chorizo,cerdo|marca,,101,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
3502#34.3,3502,BARRA LUNCH 1.3 KG.PAMPLONICA,PAMPLONICA,jamones_fiambres_cocidos,lunch,marca,,102,auto_confirmado,regla:\blunch\b,,regla inequívoca
3502#35.1,3502,BARRA LUNCH 1.3 KG.PAMPLONICA,PAMPLONICA,jamones_fiambres_cocidos,lunch,marca,,103,auto_confirmado,regla:\blunch\b,,regla inequívoca
3506#35.2,3506,CALLOS L/T MADRILEÑA 380G PAMPLONICA,PAMPLONICA,salchichas_morcillas_preparados,preparados,marca,,104,auto_confirmado,regla:\bcallos\b,,regla inequívoca
8003#35.3,8003,"QUESO ""EL HIDALGO"" ACEITE GRANDE",QUESO EL HIDALGO,quesos,queso,marca|queso,,105,auto_confirmado,regla:\bqueso,,regla inequívoca
8003#36.1,8003,"QUESO ""EL HIDALGO"" ACEITE GRANDE",QUESO EL HIDALGO,quesos,queso,marca|queso,,106,auto_confirmado,regla:\bqueso,,regla inequívoca
8005#36.2,8005,"QUESO ""EL HIDALGO"" MINI-ACEITE",QUESO EL HIDALGO,quesos,queso,marca|queso,,107,auto_confirmado,regla:\bqueso,,regla inequívoca
8009#36.3,8009,1/2 QUESO EL HIDALGO OVEJA CURADO,QUESO EL HIDALGO,quesos,queso,marca|queso,,108,auto_confirmado,regla:\bqueso,,regla inequívoca
8103#37.1,8103,1/2 QUESO MEZCLA CURADO VACIO EL HIDALGO,QUESO EL HIDALGO,quesos,queso,marca|queso,,109,auto_confirmado,regla:\bqueso,,regla inequívoca
4999#37.2,4999,SOPAIPAS CONG. 1C/ 15 B/ RICARTE,RICARTE,congelados,,congelado|marca,,110,auto_confirmado,regla:\bcong\b|\bcongelad,,regla inequívoca
5000#37.3,5000,CHURROS CONG.450GM. RICARTE,RICARTE,congelados,,congelado|marca,,111,auto_confirmado,regla:\bcong\b|\bcongelad,,regla inequívoca
5000#38.1,5000,CHURROS CONG.450GM. RICARTE,RICARTE,congelados,,congelado|marca,,112,auto_confirmado,regla:\bcong\b|\bcongelad,,regla inequívoca
